ID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
79542,25000.00,25000.00,0.18,60 months,debt_consolidation,0.28,VA,MORTGAGE,8606.56,720-724,11.00,15210.00,3.00,5 years
75473,19750.00,19750.00,0.17,60 months,debt_consolidation,0.13,NY,MORTGAGE,6737.5,710-714,14.00,19070.00,3.00,4 years
67265,2100.00,2100.00,0.14,36 months,major_purchase,0.04,LA,OWN,1000,690-694,13.00,893.00,1.00,< 1 year
80167,28000.00,28000.00,0.16,36 months,credit_card,0.20,NV,MORTGAGE,7083.33,710-714,12.00,38194.00,1.00,10+ years
17240,24250.00,17431.82,0.12,60 months,credit_card,0.24,OH,MORTGAGE,5833.33,730-734,6.00,31061.00,2.00,10+ years
32737,5400.00,5375.00,0.09,36 months,small_business,0.06,OH,RENT,3000,785-789,2.00,90.00,2.00,n/a
71685,16000.00,16000.00,0.22,60 months,credit_card,0.11,CA,RENT,4791.67,665-669,5.00,8474.00,0.00,2 years
38028,6400.00,6400.00,0.08,36 months,major_purchase,0.10,IL,RENT,6400,735-739,11.00,12306.00,1.00,< 1 year
32119,24000.00,23772.15,0.13,60 months,home_improvement,0.16,NC,MORTGAGE,8333.33,740-744,24.00,56984.00,0.00,n/a
84563,8000.00,8000.00,0.08,36 months,other,0.00,NC,MORTGAGE,3500,765-769,7.00,0.00,1.00,n/a
78765,9000.00,9000.00,0.10,36 months,debt_consolidation,0.14,CA,RENT,5166.67,710-714,10.00,6490.00,0.00,10+ years
24590,13000.00,12975.00,0.10,60 months,home_improvement,0.09,OH,MORTGAGE,10500,800-804,8.00,6810.00,0.00,10+ years
9061,10000.00,10000.00,0.14,36 months,debt_consolidation,0.12,NJ,RENT,2541.67,680-684,4.00,13667.00,0.00,8 years
